order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status
000001.XSHG,"09:31-11:30,13:01-15:00",0.0,上证指数,XSHG,SZZS,1.0,INDX,0000-00-00,1991-07-15,Active
000002.XSHG,"09:31-11:30,13:01-15:00",0.0,A股指数,XSHG,AGZS,1.0,INDX,0000-00-00,1992-02-21,Active
000003.XSHG,"09:31-11:30,13:01-15:00",0.0,B股指数,XSHG,BGZS,1.0,INDX,0000-00-00,1992-08-17,Active
000004.XSHG,"09:31-11:30,13:01-15:00",0.0,工业指数,XSHG,GYZS,1.0,INDX,0000-00-00,1993-05-03,Active
000005.XSHG,"09:31-11:30,13:01-15:00",0.0,商业指数,XSHG,SYZS,1.0,INDX,0000-00-00,1993-05-03,Active
000006.XSHG,"09:31-11:30,13:01-15:00",0.0,地产指数,XSHG,DCZS,1.0,INDX,0000-00-00,1993-05-03,Active
000007.XSHG,"09:31-11:30,13:01-15:00",0.0,公用指数,XSHG,GYZS,1.0,INDX,0000-00-00,1993-05-03,Active
000008.XSHG,"09:31-11:30,13:01-15:00",0.0,综合指数,XSHG,ZHZS,1.0,INDX,0000-00-00,1993-05-03,Active
000009.XSHG,"09:31-11:30,13:01-15:00",0.0,上证380,XSHG,SZ380,1.0,INDX,0000-00-00,2010-11-29,Active
000010.XSHG,"09:31-11:30,13:01-15:00",0.0,上证180,XSHG,SZ180,1.0,INDX,0000-00-00,2002-07-01,Active
000011.XSHG,"09:31-11:30,13:01-15:00",0.0,基金指数,XSHG,JJZS,1.0,INDX,0000-00-00,2000-06-09,Active
000012.XSHG,"09:31-11:30,13:01-15:00",0.0,国债指数,XSHG,GZZS,1.0,INDX,0000-00-00,2003-01-02,Active
000013.XSHG,"09:31-11:30,13:01-15:00",0.0,企债指数,XSHG,QZZS,1.0,INDX,0000-00-00,2003-06-09,Active
000015.XSHG,"09:31-11:30,13:01-15:00",0.0,红利指数,XSHG,HLZS,1.0,INDX,0000-00-00,2005-01-04,Active
000016.XSHG,"09:31-11:30,13:01-15:00",0.0,上证50,XSHG,SZ50,1.0,INDX,0000-00-00,2004-01-02,Active
000017.XSHG,"09:31-11:30,13:01-15:00",0.0,新综指,XSHG,XZZ,1.0,INDX,0000-00-00,2006-01-04,Active
