,id,last_price,name,,,
393,301097.XSHE,39.99,天益医疗,,,530482
342,301314.XSHE,39.9,科瑞思,,,
58,688193.XSHG,39.53,仁度生物,,,
178,301131.XSHE,39.44,聚赛龙,,,39.99
332,300949.XSHE,37.12,奥雅股份,,,
358,301390.XSHE,36.15,经纬股份,,,
361,300844.XSHE,34.71,山水比德,,,
359,001225.XSHE,33.68,和泰机电,,,
97,301105.XSHE,32.99,鸿铭股份,,,
279,688113.XSHG,32.75,联测科技,,,
126,688638.XSHG,31.95,誉辰智能,,,
297,688056.XSHG,31.79,莱伯泰科,,,
344,001373.XSHE,31.75,翔腾新材,,,
267,603860.XSHG,31.2,中公高科,,,
273,301043.XSHE,30.8,绿岛风,,,
202,301300.XSHE,30.24,远翔新材,,,
386,688109.XSHG,29.8,品茗科技,,,
384,301353.XSHE,29.61,普莱得,,,
346,301283.XSHE,28.47,聚胶股份,,,
324,688272.XSHG,28.37,富吉瑞,,,
321,301232.XSHE,28.3,飞沃科技,,,
177,301234.XSHE,28.16,五洲医疗,,,
322,688265.XSHG,28.04,南模生物,,,
365,301108.XSHE,27.99,洁雅股份,,,
33,688215.XSHG,27.86,瑞晟智能,,,
268,301130.XSHE,27.37,西点药业,,,
104,301024.XSHE,26.52,霍普股份,,,
312,003004.XSHE,25.77,声迅股份,,,
364,301359.XSHE,25.66,东南电子,,,
204,688051.XSHG,25.55,佳华科技,,,
241,603261.XSHG,25.4,立航科技,,,
93,688450.XSHG,25.3,光格科技,,,
115,301113.XSHE,25.3,雅艺科技,,,
226,300906.XSHE,25.29,日月明,,,
233,301237.XSHE,25.16,和顺科技,,,
149,300804.XSHE,25.08,广康生化,,,
382,688395.XSHG,24.8,正弦电气,,,
117,301273.XSHE,24.45,瑞晨环保,,,
303,688420.XSHG,24.33,美腾科技,,,
296,301505.XSHE,24.14,苏州规划,,,
174,300935.XSHE,23.98,盈建科,,,
193,301163.XSHE,23.82,宏德股份,,,
378,300865.XSHE,23.59,大宏立,,,
108,001259.XSHE,23.54,利仁科技,,,
38,600455.XSHG,23.52,博通股份,,,
182,688092.XSHG,23.49,爱科科技,,,
12,688217.XSHG,23.15,睿昂基因,,,
172,301053.XSHE,23.07,远信工业,,,
39,300899.XSHE,22.97,上海凯鑫,,,
166,301231.XSHE,22.8,荣信文化,,,
173,300971.XSHE,22.76,博亚精工,,,
88,001211.XSHE,22.64,双枪科技,,,
154,003017.XSHE,21.91,大洋生物,,,
334,300837.XSHE,21.85,浙矿股份,,,
399,301276.XSHE,21.8,嘉曼服饰,,,
103,300923.XSHE,21.62,研奥股份,,,
362,301072.XSHE,21.51,中捷精工,,,
389,003008.XSHE,21.49,开普检测,,,
278,301192.XSHE,21.43,泰祥股份,,,
36,301372.XSHE,21.42,科净源,,,
351,301235.XSHE,21.38,华康医疗,,,
319,688081.XSHG,21.27,兴图新科,,,
64,300886.XSHE,21.25,华业香料,,,
396,688216.XSHG,21.14,气派科技,,,
92,301075.XSHE,20.8,多瑞医药,,,
83,688671.XSHG,20.62,碧兴物联,,,
251,688345.XSHG,20.5,博力威,,,
249,688573.XSHG,20.37,信宇人,,,
246,603090.XSHG,20.35,宏盛股份,,,
121,688251.XSHG,20.27,井松智能,,,
100,688171.XSHG,20.25,纬德信息,,,
21,688067.XSHG,20.14,爱威科技,,,
81,001336.XSHE,20.05,楚环科技,,,
69,688013.XSHG,19.75,天臣医疗,,,
270,301065.XSHE,19.69,本立科技,,,
67,300995.XSHE,19.66,奇德新材,,,
206,300966.XSHE,19.66,共同药业,,,
191,301515.XSHE,19.58,港通医疗,,,
385,301148.XSHE,19.36,嘉戎技术,,,
207,300710.XSHE,19.31,万隆光电,,,
381,688737.XSHG,19.15,中自科技,,,
286,301118.XSHE,19.14,恒光股份,,,
397,301588.XSHE,19.1,美新科技,,,
299,605003.XSHG,19.09,众望布艺,,,
167,300920.XSHE,18.99,润阳科技,,,
227,003023.XSHE,18.87,彩虹集团,,,
373,300668.XSHE,18.75,杰恩设计,,,
392,300813.XSHE,18.69,泰林生物,,,
277,001260.XSHE,18.52,坤泰股份,,,
210,001234.XSHE,18.22,泰慕士,,,
235,300069.XSHE,18.2,金利华电,,,
137,001231.XSHE,18.01,农心科技,,,
128,688011.XSHG,18,新光光电,,,
194,688163.XSHG,17.97,赛伦生物,,,
141,605178.XSHG,17.89,时空科技,,,
99,301227.XSHE,17.84,森鹰窗业,,,
89,300594.XSHE,17.79,朗进科技,,,
337,301002.XSHE,17.79,崧盛股份,,,
159,301010.XSHE,17.71,晶雪节能,,,
289,301429.XSHE,17.7,森泰股份,,,
43,688607.XSHG,17.5,康众医疗,,,
308,603029.XSHG,17.41,天鹅股份,,,
350,001278.XSHE,17.39,一彬科技,,,
330,688655.XSHG,17.3,迅捷兴,,,
47,688367.XSHG,17.27,工大高科,,,
259,688466.XSHG,17.27,金科环境,,,
22,688004.XSHG,17.19,博汇科技,,,
16,688329.XSHG,17.15,艾隆科技,,,
292,688669.XSHG,17.13,聚石化学,,,
28,688178.XSHG,17.07,万德斯,,,
275,003030.XSHE,17.07,祖名股份,,,
95,300955.XSHE,16.96,嘉亨家化,,,
123,603272.XSHG,16.95,联翔股份,,,
